id,establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,latitude,longitude,email,phone,num_beds,land_area_sqft,building_area_sqft,page_number
686,Sri Lakshmi Clinic,Clinic/Polyclinic Only Consultation,Allopathy,", KNO.333A, Viveknagar, Hassan-573201",HASSAN,HSN00262ALCOC,02 Dec 2027,13.0033,76.1004,venugopalvenu121@gmail.com,9964288074.0,0.0,300.0,500.0,7
710,Dr K NARASIMHAIAH HOSPITAL,Hospital (Level 2),Allopathy,4TH MAIN GANDHI NAGAR TUMKUR 572102,,TMK00160ALHL2,04 Jul 2026,13.33636,77.09723,drknarasimhaiahhospital@gmail.com,9980022800.0,35.0,1114.0,1238.0,8
722,SHAKUNTALA CLINIC,Clinic/Polyclinic with Observation,Integrated System,AT POST MADABHAVI TAL ATHANI DIST BELAGAVI,BELAGAVI,BLG01658ISCWO,09 Jan 2029,16.80054,74.96563,sbchougule1975@gmail.com,9663635942.0,0.0,600.0,720.0,6
723,MUDANUR MULTI SPECIALTY HOSPITAL,Hospital (Level 1B),Allopathy,KALYAN NAGAR BLDE HOSPITAL VIJAYAPURA,VIJAYAPURA,BIJ00284ALH1B,30 Oct 2026,16.840262,75.716783,mudanurhospital@yahoo.co.in,9448820961.0,35.0,3500.0,9600.0,8
724,SPANDANA MATERNITY & GENERAL HOSPITAL,Hospital (Level 1A),Allopathy,"MANGALORE ROAD, KARKALA",MANGALORE,UDP00548ALH1A,08 Feb 2027,13.2,74.8,Phone:,9845239772.0,30.0,15.0,24000.0,7
729,VISHWA HI TECH CLINICAL LABORATORY,Medical Diagnostic Laboratory,Allopathy,"No.#2345/4,Beside post office Opp KEB Billing Counter HKR Circle,Nittuvalli,davanagere 05",DAVANAGERE,DVG00602ALMDL,22 Nov 2028,14.4498885,75.9245444,prakashbabupadmashali@gmail.com,9743015115.0,0.0,26.0,47.0,9
732,NAMBIARS CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,NAMBIARS CLINIC DURGA COMPLEX SIDDAPURA KUNDAPURA TALUK,,UDP00268AYCWD,02 Sep 2026,13.663667,74.911264,vrnnam27@gmail.com,9008957859.0,0.0,260.0,290.0,8
737,SURAKSHA TRAUMA AND ORTHPAEDIC SURGICAL HOSPITAL,Hospital (Level 2),Allopathy,"DR ANILKUMAR T BENNUR,SURAKSHA TRAUMA AND ORTHPAEDIC SURGICAL HOSPITAL II CROSS ASHOK NAGAR POST RANEBENNUR",,HVR00184ALHL2,08 Jul 2026,14.6162,75.6348,Phone:,0.0,10.0,3280.0,3501.0,7
741,Cosmopoliton Dental Clinic,Dental Lab or Clinic,Allopathy,"3-11-1065 Jayashree Gate, Bikarnakatta",,DKA01654ALDEN,29 May 2028,12.9141,74.856,gopsmanju@yahoo.co.in,9845451954.0,0.0,1080.0,3000.0,6
758,Dr THAMMAIAH HOSPITAL,Hospital (Level 2),Allopathy,"BELAGUMBA ROAD, KUVEMPU NAGARA, TUMAKURU DISTRICT-572103.",TUMAKURU,TMK00240ALHL2,26 Sep 2026,13.34247,77.11933,sandesh_thammaiah@gmail.com,9880430269.0,20.0,2850.0,4800.0,8
759,CREATIONS DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"3RD FLOOR, V.K.PARADISE NEAR SANSKRITH COLLEGE MARUTHI VEETHIKA, UDUPI",UDUPI,UDP00963ALDEN,08 Mar 2028,13.3415,74.74903,puneethsurps@gmail.com,9886441384.0,0.0,513.0,740.0,9
782,ANUGRAHA EYE HOSPITAL,Hospital (Level 2),Allopathy,BEHIND CENTRAL BUS STAND NAVABAG MAIN ROAD VIJAYAPUR,,BIJ00212ALHL2,12 Jul 2026,16.824377,75.712382,anugraha.eyehospital@gmail.com,9448169739.0,20.0,2400.0,4800.0,8
802,H K HOSPITAL,Hospital (Level 1A),Allopathy,"#106/2, BENGALURU-MYSORE ROAD, NEAR RAINBOW BRIDGE, KENGERI, BENGALURU-560060",BENGALURU,BLU02919ALH1A,26 Jan 2027,12.9084,77.4765,Phone:,9900037486.0,30.0,3000.0,10000.0,7
818,Narayana Multispeciality Clinic,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#558/558/933, Ground Floor, Kuvempu Road, Shimoga",,SMG00075ALCDS,01 Nov 2026,13.94034,,info.shimoga@narayanahealth.org,8884416899.0,0.0,3045.0,5997.0,7
823,Mantras Advanced Aesthetic Clinicare Pvt Ltd,Clinic/Polyclinic with Observation,Allopathy,"No 363, “Elegant Embassy”, 10th Main, Opp Cosmopolitan Club, 3rd Block, Jayanagar,",,BLU02846ALCWO,05 Jan 2027,12.93375,77.58558,madhu.arm1017@gmail.com,9652740980.0,0.0,1610.0,1960.0,7
840,Dr Vatsala Kamath Clinic,Clinic/Polyclinic Only Consultation,Allopathy,G 7 city plaza KRR road Kodialbail,,DKA01076ALCOC,12 Jun 2027,12.876,74.8434,vatsala123@yahoo.co.in,9880530508.0,0.0,153.0,230.0,9
846,BALAJI NURSING HOME,Hospital (Level 2),Allopathy,Dr RAMESH.K.V BALAJI NURSING HOME T B ROAD KADUR-577548,,CKM00110ALHL2,15 May 2027,13.5527,76.0152,balajinh1980kadur@gmail.com,9448072382.0,30.0,7000.0,9600.0,8
847,CLASSIC CLINICAL LABORATORY,Medical Diagnostic Laboratory,Allopathy,"CITY FLOWER COMPLEX, 1ST FLOOR ALAKE MAIN ROAD, ALAKE MANGALORE 575003",MANGALORE,DKA01078ALMDL,12 Jun 2027,12.8723,74.8339,dhirusaikumar@gmail.com,9880332707.0,0.0,190.0,500.0,9
858,CITI HOSPITAL,Hospital (Level 2),Allopathy,"#25/91, Chord road, Dr.D.R.Bendre road, Rajajinagar 2nd block, Bangalore.",BANGALORE,BLU03776ALHL2,20 Sep 2027,12.997863,77.552347,citiaudits2002@gmail.com,9916423593.0,50.0,4500.0,11000.0,9
859,SHREE VINAYAKA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"Arakalgud Road, Shree Rangha Plaza Holenarsipura Hassan.",HASSAN,HSN00281ALCOC,13 Feb 2028,13.009711,76.102898,mohananghnp24@gmail.com,9880917575.0,0.0,155.0,160.0,8
872,Krishna Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"Krishna Clinic, Main Road Ganlli",,UDP00778ALCOC,07 Jul 2027,10.0,10.0,Phone:,9880751459.0,0.0,100.0,2000.0,9
873,Health Care Clinical Lab,Medical Diagnostic Laboratory,Allopathy,RATHA BEEDI 4TH BLOCK KUSHALNAGARA,,KDG00126ALMDL,13 Jul 2027,12.4576,75.960154,Phone:,9686588139.0,0.0,160.0,2400.0,9
895,Dr. L. G. Dharmashala,Clinic/Polyclinic with Dispensary,Homeopathy,"Dr. L. G. Dharmashala, Hospet Road Sirsi",,UKA00264HOCWD,21 Nov 2027,14.6195,74.835403,lgdharmashala@gmail.com,9845370555.0,0.0,300.0,500.0,9
921,LAXMI SURGICAL TRAUMA ORTHO AND MULTISPECIALITY HOSPITAL,Specialty / Super-Specialty Specific Hospital,Allopathy,3RD CROSS VINAYAK NAGAR RANEBENNUR,,HVR00282ALSSH,12 Apr 2027,17.46175,78.56286,sanjeevaa.mudri@gmail.com,9242215990.0,65.0,6175.0,11200.0,9
925,CENTER OF HUMAN REPRODUCTION AND BIO SCIENCES PRIVATE LIMITED,Clinic/Polyclinic with Observation,Allopathy,"No 1313, 27th Main, 9th Cross, JP Nagar, 1st Phase, Bangalore",BANGALORE,BLU03996ALCWO,08 Dec 2027,12.911379,75.573354,Phone:,0.0,0.0,4000.0,5605.0,9
