id,establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,latitude,longitude,email,phone,num_beds,land_area_sqft,building_area_sqft,page_number
12,Dr Jagadeesh Orthopaedic Sports Medicine and Skin Center,Clinic/Polyclinic with Observation,Allopathy,"No.240, 32nd Cross, 7th Block, Jayanagar, Bangalore-560082",BANGALORE,BLU03670ALCWO,06 Sep 2027,12.9270,77.5766,ushadvl10@gmail.com,9886639322,0,Buliding Area(sq.ft):,,4
13,SAPTHAGIRI SKIN CARE CLINIC.,Clinic/Polyclinic Only Consultation,Allopathy,"1ST FLOOR, #1BLD, BESIDE PARAGON SHOW ROOM, NEAR HOYSALA CIRCLE, 11TH CROSS, 1ST MAIN, KENGERI UPANAGARA, BENGALURU-60.",BENGALURU,BLU02937ALCOC,26 Jan 2027,12.92,77.48,dermalok0006@yahoo.co.in,9482738555,0,Buliding Area(sq.ft):,,1
14,GAYATRI NURSING HOME,Hospital (Level 1B),Allopathy,NAGUR LAYOUT NEAR AMBEDKAR CIRCLE SINDAGI DIST VIJAYAPUR,,BIJ00374ALH1B,05 Feb 2027,16.923743,76.231549,sharadanadagoud@gmail.com,9449237454,12,3000,5200,3
15,Sanjeevini Hospital,Clinic/Polyclinic Only Consultation,Allopathy,"Sanjeevini Hospital Besides ZP Office, NM road Chikkodi 591201",,BLG00054ALCOC,07 Dec 2025,16.4238592,74.5721842,srgksat7@gmail.com,8105946674,0,2825,1127,2
16,SRI GANESH XRAY DIAGNOSTIC CENTRE,Diagnostic Imaging Centre,Allopathy,RATHA BEEDI 4TH BLOCK KUSHALNAGARA,,KDG00129ALDIC,14 Jul 2027,12.4670,75.9670,Phone:,9900499418,0,500,350,4
17,SRI KRISHNA HOSPITALS AND HEALTHCARE,Hospital (Level 1A),Allopathy,"# 154 , 29TH CROSS , 17TH MAIN , BANASHANKARI 2ND STAGE, BANGALORE",BANGALORE,BLU00269ALH1A,04 Jun 2025,12.55,77.33,skhhealthcare@gmail.com,9845219403,15,Buliding Area(sq.ft):,,1
18,VIVEKANANDA CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,"Huskur Via Bommasandra Industrial Area, Hosur Road, Anekal Taluk, Bengaluru Urban District - 560099",BENGALURU,BLU02223HOCOC,18 Aug 2026,12.85,77.70,vivekanandaclinic99@gmail.com,9448033088,0,Buliding Area(sq.ft):,,3
19,PATIL CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,DEVARAJ NAGAR A/P TERDAL 587315,,BGK00633AYCOC,27 Jul 2028,16.49731,75.0518,drakpatil29@gmail.com,9611738004,0,300,283,4
20,JHANVI EYE CARE,Clinic/Polyclinic Only Consultation,Allopathy,NEAR SANJAY INDIAN GAS MADIVAL CHOWK BIDAR,BIDAR,BDR00181ALCOC,26 Sep 2027,17.9200,77.256,rathod553@gmail.com,9591866086,0,Buliding Area(sq.ft):,,2
21,V CARE MEDISCON HOSPITAL,Hospital (Level 2),Allopathy,"NO.9, PILLANNA GARDEN, 3rd STAGE",,BLU11350ALHL2,04 Jun 2030,12.88,77.61,Phone:,8105435880,20,Buliding Area(sq.ft):,,1
22,ANUGRAHA CLINIC,Clinic/Polyclinic Only Consultation,Integrated System,"NO. 178 ANUGRAHA, 1ST A CROSS , VIJAYA BANK COLONY EXTENSION , NEAR OUTER RING ROAD, HORAMAVU , BANASWADI, BANGALORE - 43",BANGALORE,BLU02724ISCOC,07 Dec 2026,13.0176444,77.6592059,Phone:,9845039246,0,Buliding Area(sq.ft):,,3
23,Glow & grow,Clinic/Polyclinic Only Consultation,Ayurveda,Golden plaza court road kalburgi,,GLB00107AYCOC,01 Jan 2026,17.32424,76.82801,Truptibadiyal@gmail.com,9136045686,0,Buliding Area(sq.ft):,,2
24,Trinity Dental Care,Dental Lab or Clinic,Allopathy,"Medicare Centre, Court South Cross Road, Udupi - 576101",UDUPI,UDP00854ALDEN,22 Sep 2027,13.33399,74.74840,mariette.tdc@gmail.com,9342748955,0,Buliding Area(sq.ft):,,4
25,BANASHANKARI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,CHIDUGUMPI AREA MARTUR. AT POST .MARTUR,,GLB00400AYCOC,29 Dec 2026,17.214621,76.886515,vishwanathsahu561996@gmail.com,9535906494,0,220,200,3
26,MITRA MEDICAL CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#24, GROUND FLOOR, 2ND CROSS, KUMARSWAMY LAYOUT 1ST STAGE, BANGALORE 560078.",BANGALORE,BLU12408ALCDS,26 Oct 2030,12.09,77.56,Phone:,9741783141,0,Buliding Area(sq.ft):,,2
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Clinic/Polyclinic with Observation,Allopathy,"Madhura Plaza, 1st Floor, Opp Shree Mahalaxmi Temple, Janata Bazar, Dajibanpeth, Hubballi",,DWR00566ALCWO,26 Nov 2027,15.349604,75.139382,drshashidharkallappa75@gmail.com,9448469608,0,557,557,4
28,CLINIC GOLDEN PROPORTIONS,Dental Lab or Clinic,Allopathy,"NO10, 72/32, KORAMANGALA 4TH BLOCK, 80FT ROAD, GREENLEAF LAYOUT.",,BLU00314ALDEN,08 Jul 2025,12.9358,77.6289,vshetty@hotmail.com,9844133252,0,Buliding Area(sq.ft):,1800,1
29,WALI ORTHOPAEDIC HOSPITAL,Clinic/Polyclinic Only Consultation,Allopathy,"SINDAGI ROAD , NEAR OM MANGAL KARYALAYA, INDI DT VIJAYAPUR-586209",,BIJ00321ALCOC,26 Nov 2026,16.8302,75.7100,Phone:,9901498520,0,Buliding Area(sq.ft):,,3
30,City hospital,Hospital (Level 1B),Allopathy,julai nagar,,KPL00126ALH1B,17 Sep 2027,15.25,76.31,city.gvt@gmail.com,9845339610,15,1080,3240,2
31,Sukshema Health Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"GKM Complex, BH Road Tiptur-Tq, Tumkur-Dist",,TMK00713ALCOC,20 Feb 2029,13.260104,76.472073,drmanjunatha.tiptur@gmail.com,9482153797,0,300,,4
32,Sri Raghavendra Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Mahadeshwara Complex, T.N.Pura Tq.",,MYS00608AYCOC,07 Jul 2027,12.21,76.90,Phone:,9448733674,0,Buliding Area(sq.ft):,,3
33,TEMPLE HEALTH CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"NO.2947/E, SERVICE ROAD, VIJAYANAGAR, BANGALORE-560104",BANGALORE,BLU11148ALCDS,02 May 2030,12.9756,77.5354,Phone:,9740080257,0,Buliding Area(sq.ft):,,1
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Dental Lab or Clinic,Allopathy,"#73, 2nd Main, Near Shivalaya, Sri Nagar, Dharwad.",DHARWAD,DWR00129ALDEN,26 Nov 2025,15.447492,74.980189,drramyasanthosh04@gmail.com,8867039784,0,Buliding Area(sq.ft):,,2
35,KALAVATI CLINIC,Clinic/Polyclinic with Dispensary,Homeopathy,"H NO 367/C, VITTAL MANDIR ROAD, BAZAR GALLI M VADGAON BELGAUM",BELGAUM,BLG00846HOCWD,18 Sep 2027,15.832041,74.520993,spbhandare17@gmail.com,9900980562,0,754,480,4
36,Dentalglen Dental Clinic,Dental Lab or Clinic,Allopathy,"No.9, 5th Main, Siddi Vinayaka Layout, Vidyaranyapura Post, Bangalore - 560097",BANGALORE,BLU02090ALDEN,11 Jul 2026,13.08,77.55,dentalglen2016@gmail.com,9916961650,0,Buliding Area(sq.ft):,,3
37,SANJIVANI CHILD CARE,Clinic/Polyclinic Only Consultation,Allopathy,"No.5, Krishna Nagar Main Road, Devasandra, K R Puram, Bangalore",BANGALORE,BLU10600ALCOC,18 Feb 2030,13.01,77.70,Phone:,9008918286,0,Buliding Area(sq.ft):,,1
38,AMAR CLINIC,Clinic/Polyclinic with Dispensary,Integrated System,"NO 122/22, 3rd CROSS, TRIVENI ROAD, K.N. EXTENSION, YESHWANTHPUR, BANGALORE 560022",BANGALORE,BLU06037ISCWD,06 Dec 2028,13.02121,77.55861,Phone:,0,0,Buliding Area(sq.ft):,,4
39,PRAGATHI HOSPITAL,Hospital (Level 1A),Allopathy,VP EXTENSION MAIN ROAD OPP MRP LODGE OLD JP NURSING HOME,,CTR00013ALH1A,03 Feb 2026,14.21,76.39,rayamsortho@gmail.com,9731244999,10,24,24,2
40,SRI DEVI HOSPITAL,Hospital (Level 1B),Allopathy,OPP GANDHIPARK VODERHOBLI KUNDAPURA,,UDP00357ALH1B,29 Sep 2026,13.62199,74.69492,Phone:,9449033172,45,43560,31779,3
41,TASMIA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"NO 39,9TH MAIN ROAD PADARAYANAPURA BENGALURU",BENGALURU,BLU00788AYCOC,07 Oct 2025,12.9650634,77.5567576,naziasalma0301@gmail.com,9731483581,0,180,1500,1
42,ADARSH HEART CARE AND MULTISPECIALITY HOSPITAL PRIVATE LIMITED,Specialty / Super-Specialty Specific Hospital,Allopathy,"OPP. OLD KSRTC BUS STAND SANGEETHA COMPLEX, WARD NO.16, BEHIND SHYAMALA LODGE, KOLACHALAM COMPOUND, BALLARI- 583101",BALLARI,BEL00378ALSSH,26 Sep 2027,15.14746,7692894,Phone:,9845028500,52,Buliding Area(sq.ft):,,4
43,DR K.G.KULKARNI HOSPITAL,Clinic/Polyclinic Only Consultation,Allopathy,"Dr KG Kulkarni Hospital, Dr Simpilinganna Road Koppal",KOPPAL,KPL00002ALCOC,27 Jul 2026,15.3505,76.1567,kulkarnikg@yahoo.com,9448380464,0,7200,1092,2
44,PADMA CLINC,Clinic/Polyclinic Only Consultation,Ayurveda,"Tavarekere Main Road, BTM Layout, Bangalore",BANGALORE,BLU00559AYCOC,25 Aug 2025,12.91,77.61,janardhanbrao3569@gmail.com,9731036555,0,Buliding Area(sq.ft):,,1
45,AYUR HEALTH CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,T M ROAD ALIPUR VILLAGE AND POST THONDEBHAVI HOBLI GAURIBIDANUR TALUK,,CBR00314AYCOC,18 Apr 2028,13.493658,77.459787,samreentaj38@gmail.com,9902597872,0,Buliding Area(sq.ft):,400,4
46,LIFECELL INTERNATIONAL PVT.LTD.,Medical Diagnostic Laboratory,Allopathy,"NO. 73/1, OLD NO.406, 2ND AND 3RD FLOOR, 20TH MAIN ROAD, 1ST BLOCK WOC ROAD, NEAR INDIRA CANTEEN RAJAJI NAGAR, BANGALORE -560010.",BANGALORE,BLU12607ALMDL,12 Nov 2030,13.98,77.57,Phone:,9884325531,0,Buliding Area(sq.ft):,,2
47,SRI AROGYA HOSPITAL,Hospital (Level 1A),Allopathy,"No.1 And 2, Kuvempu Nagar, 2nd Cross, Kattigenahalli, Bagalur Main Road, Bangalore",BANGALORE,BLU00209ALH1A,18 Mar 2025,13.12,77.62,sriarogya555@gmail.com,7975389292,30,Buliding Area(sq.ft):,,1
48,PARVATHI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"#42/3, 3rd cross, 1st Main, Vrushabhavathi Nagar,Kamakshipalya,Bengaluru-560079",BENGALURU,BLU02396AYCOC,24 Sep 2026,12.9855,77.5269,no36parvathipolyclinic@gmail.com,9980072860,0,1200,500,3
49,shambhavi dental clinic,Dental Lab or Clinic,Allopathy,"shambhavi dental clinic, suvarna theatre road, jamkhandi, pin-587301",,BGK00748ALDEN,03 Apr 2029,16.5043,75.2918,Phone:,9844861165,0,540,430,4
50,ASHWINI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,Dr RAJKUMAR ROAD HULIYAR POST C.N.HALLI TALUK TUMKUR 572218,,TMK00092AYCOC,10 Jan 2026,13.411310,76.619990,jayasheelag12@gmail.com,9986541047,0,297,297,2
51,SAI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"NO.482, 4TH MAIN, 4TH CROSS, KAMALANAGAR, BANGALORE-560079",BANGALORE,BLU02273AYCOC,23 Aug 2026,12.9993,77.5285,rekharathnaprabhu@gmail.com,8722045330,0,Buliding Area(sq.ft):,,3
52,CITY DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"No.107, MSVG Complex, RT Street, BVK Iyengar Road, Bangaluru",,BLU03617ALDEN,25 Aug 2027,13.03,77.57,citydentalclinic53@gmail.com,9844369787,0,Buliding Area(sq.ft):,,1
53,Dreams Foundation,Hospital (Level 1A),Allopathy,"Survey No.150, Hosapalya Village, Thataguni post , Kengeri Hobli, Bangalore - 560082",BANGALORE,BLU02446ALH1A,07 Oct 2026,13.56,77.15,Manjunath1979.2011@gmail.com,9845753414,15,Buliding Area(sq.ft):,,4
54,DR. GURUSHANTAPPA YALAGACHIN CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"F-3, Doctor House, D-Block, 1st Floor, Revankar Complex, Court Circle, Hubballi.",,DWR00319ALCOC,24 Jul 2026,15.352636,75.139134,d.yalagachin@yahoo.com,9845253373,0,Buliding Area(sq.ft):,,2
55,Plexus Neuro and Stem Cell Research Centre,Clinic/Polyclinic with Observation,Allopathy,"No. 503, 3rd Main, 5th Cross, OMBR Layout, Banaswadi, BANGALORE",BANGALORE,BLU02723ALCWO,07 Dec 2026,13.001296,77.629909,drnaeem@plexusnc.com,9900700886,0,4000,6000,3
56,DR.SOLANKI EYE HOSPITAL PVT LTD,Hospital (Level 1A),Allopathy,"#191/1, 2ND CROSS, LINK ROAD, MALLESHWARAM, BANGALORE-560003.",BANGALORE,BLU12579ALH1A,10 Nov 2030,13.0055,77.5692,Phone:,7338678048,10,Buliding Area(sq.ft):,,1
57,J K SPECIALITY HOSPITAL,Hospital (Level 1A),Allopathy,"NO.8/3,SOMPURA VILLAGE ,KATHA NO.1737/1744,AGALAKUPPE GRAMAPANCHAYATH,NELAMANGALA,BENGALORE RURAL DISTRICT -562111",,BLR00052ALH1A,30 Sep 2026,13.22,77.24,jkspecialityhospital@gmail.com,9741783141,30,Buliding Area(sq.ft):,,4
58,HSN Super Speciality Hair Transplantation Centre,Hospital (Level 1A),Allopathy,"No.2948, 2nd and 3rd floor, MKK Road, D Block, Rajajinagar, Bengaluru-560010",BENGALURU,BLU01714ALH1A,24 Mar 2026,12.99,77.55,hsnhtindia@gmail.com,9620000841,5,Buliding Area(sq.ft):,,2
59,DAWN CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"5-4-84 A2, MISSION COMPOUND, 2ND MAIN, UDUPI",UDUPI,UDP00263ALCDS,17 Aug 2026,13.34,74.74,dr.donaldsimons@gmail.com,9886593755,0,Buliding Area(sq.ft):,,3
60,SADIYA DAY CARE CENTRE,Clinic/Polyclinic with Dispensary,Unani,"66,6th CROSS,UMAR NAGAR, GOVINDPUR, ARABIC COLLEGE POST,NAGVARA, BENGALURU-560045",BENGALURU,BLU12409UNCWD,26 Oct 2030,13.0330715,77.6196283,Phone:,9632555648,0,800,700,1
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,AYUSH Therapy Centre,Ayurveda,"B V S Road,Near Shastri Circle,Vaderhobali, Kundapura",,UDP00035AYATC,10 Jan 2026,13.62,74.69,info@ayushdhama.com,9448428446,0,14984,17268,2
62,SPANDAN CLINIC AND JANANI FERTILITY CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"GF-04, LUXO-ANTIGO APPARTMENT HEMANT NAGAR MAIN ROAD KESHWAPUR HUBLI",HUBLI,DWR00369ALCDS,27 Oct 2026,15.3632,75.1416,mnhonawad@gmail.com,9986669730,0,Buliding Area(sq.ft):,,4
63,SHRI MALLIKARJUN CLINIC,Clinic/Polyclinic with Observation,Homeopathy,"OPPOSITE TO POLICE STATION, YARAGATTI ROAD, AT POST MURGOD.",,BLG00427HOCWO,01 Oct 2026,15.8871432,74.9279236,drnmpatil369@gmail.com,9880829682,0,2970,1400,3
64,Smiles Institute of Gastroenterology LLP,Clinic/Polyclinic Only Consultation,Allopathy,"#L-167,6th sector,5th main road,13th cross.HSR Layout,Bangalore-560102",BANGALORE,BLU00781ALCOC,29 Sep 2025,12.91,77.64,admin@sicp.com,9448189988,0,Buliding Area(sq.ft):,,1
65,Kanthi Nursing Home,Hospital (Level 2),Allopathy,APMC Cross Kanthi Nagar Sikkeri Road Navanagar Bagalkot,,BGK00224ALHL2,20 Dec 2026,16.8244,75.7154,Phone:,9880742111,48,50000,56000,4
66,SHRI LAXMI CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,SHIVAJI CIRCLE MUDHOL,,BGK00174AYCWD,10 Oct 2026,16.33335,75.2831,Phone:,9620373137,0,260,200,3
67,OSMANIA HEALTH CARE CENTRE,Clinic/Polyclinic Only Consultation,Ayurveda,JABBAR HUSSAIN QURESHI COMPLEX NEAR NAHARU CHOWK CHITGUPPA,,BDR00284AYCOC,18 Dec 2028,17.69,77.21,osmaniausah.healthcentre@gmail.com,8123786102,0,2400,2400,2
68,ST. JOHNS HEALTH CENTRE,Clinic/Polyclinic with Observation,Allopathy,"No. 122, Brigade Meadows, Saaluhunase, Kaggalipura, Kanakapura Road, Bengaluru",BENGALURU,BLU00239ALCWO,25 May 2025,12.8141,77.5082,ayeesha.begam@stjohns.in,9740800534,0,10500,6500,1
69,SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,AYUSH Therapy Centre,Ayurveda,"Plot no 2171, near Shivaterth appartment, Mahantesh nagar kanbargi road Belagavi",BELAGAVI,BLG00731AYATC,29 Jul 2027,15.8730821,74.5340003,Phone:,9731920939,0,2400,1200,4
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,Clinic/Polyclinic with Diagnostic Support,Allopathy,"AMAR JYOTHI NAGAR, BESIDE INCOME TAX DEPARTMENT STAFF QUARTERS, NEAR SAI BABA TEMPLE, KUNIGAL ROAD, TUMKUR DISTRICT-572101",,TMK00075ALCDS,09 Dec 2025,13.328460,77.097386,tumkurcenter@prakriyahospital.com,9606045868,0,1200,1200,2
71,Kavalur Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Kavalur Clinic, Rajiv Gandhi Nagar, Gadag",GADAG,GDG00091AYCOC,13 Jan 2027,15.4221,75.6591,rk.9886742308@gmail.com,8618624586,0,300,400,3
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"No228/12, M.S.Plaza, Magadi Road, Bangaluru",,BLU00597ALCDS,30 Aug 2025,12.98,77.53,tulasidiagnostic@gmail.com,9620799999,0,Buliding Area(sq.ft):,,1
73,KOUJALGI CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,HANESH MAIDAN NEW HOUSING COLONY BIDAR,BIDAR,BDR00089ALCOC,03 Dec 2026,17.91,77.51,koujalgiclinic@gmail.com,9036931671,0,2000,2000,3
74,Kiranagi Clinic,Clinic/Polyclinic with Diagnostic Support,Allopathy,Near T.V Station Humnabad road Kalaburagi-585103,KALABURAGI,GLB00490ALCDS,13 Mar 2027,17.21.55.5,76.51.09.8,bmkiranagi71@gmai.com,9591265625,0,950,500,4
75,SADHANA CLINICAL LABORATORY,Medical Diagnostic Laboratory,Allopathy,BASTI KAIKINI BHATKAL,,UKA00017ALMDL,17 Feb 2026,14.0759315,74.50403,sadhanalabbasti@gmail.com,9964888755,0,204,204,2
76,MAHADESWARA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"IDIGA MASJID BUILDING # ES 3 M G S ROAD, NANJANGUD, MYSORE - 571301",MYSORE,MYS00314ALCOC,10 Jan 2027,12.11,76.67,vrishabendraswamy@gmail.com,9448391055,0,Buliding Area(sq.ft):,,4
77,K.L.E.S.DR.PRABHAKAR KORE HOSPITAL AND MEDICAL RESEARCH CENTRE,Hospital (Level 4)(Teaching),Allopathy,"P.B.ROAD, NEHRU NAGAR, BELAGAVI",BELAGAVI,BLG00476ALHL4,16 Nov 2026,15.8881,74.5197,medicaldirector@klehospital.org,9844816033,0,737405,440281,3
78,LOTUS CHILDRENS CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"No.409, 2nd Stage, 3rd Block, Near BDA Complex, HBR Layout, Bangalore",BANGALORE,BLU00211ALCOC,18 Mar 2025,13.01,77.64,drguruprakashvk@gmail.com,7406022244,0,Buliding Area(sq.ft):,,1
79,CHIRAYU CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"R.no 20 , 1st floor , Gandhi Bhavan ,behind hotel Sanman ,college road,Belagavi",BELAGAVI,BLG00376ALCOC,29 Jul 2026,15.8661,74.5076,patilchirayuclinic@gmail.com,8762897801,0,460,460,2
80,ST JOSEPH HOSPITAL,Hospital (Level 1B),Allopathy,"KAKKINJE, NERIYA ROAD,BELTHANGADY",,DKA00558ALH1B,06 Oct 2026,12.760823,75.28074,st.josephhospital033@gmail.com,6362424917,11,20356,12567,4
81,MEDICO PASTORAL ASSOCIATION,Hospital (Level 1A),Allopathy,47 POTTERY ROAD FRAZER TOWN,,BLU02689ALH1A,02 Dec 2026,13.0000,77.6200,medicopastoralassociation@gmail.com,9686044993,47,3610,1732,1
82,SHRIYA DIAGNOSTIC CENTRE,Medical Diagnostic Laboratory,Allopathy,OPP VYSHNAVI GARMENTS NETHAJI CIRCLE BAGEPALLI TOWN AND TALUK,,CBR00050ALMDL,30 Aug 2026,13.782893,77.795103,sbabu1830@gmail.com,8151081505,0,Buliding Area(sq.ft):,,2
83,Akshaya Clinic and Diacare Center,Clinic/Polyclinic Only Consultation,Allopathy,"173, 8th Main, BEML Layout, Basaveshwarnagar, Bangalore",BANGALORE,BLU00275ALCOC,04 Jun 2025,12.992791,77.529271,g.dayananda@gmail.com,9448850802,0,2400,168,1
84,SHREE SHREE SHREE SIDDALINGESHWARA YOGAVANA HILLS REGD,Clinic/Polyclinic Only Consultation,Ayurveda,R SY NO 96/1 M K HATTI KASABA HOBALI CHITRADURGA,CHITRADURGA,CTR00103AYCOC,03 Aug 2026,14.1528,76.2151,skbasavarajan55@gmail.com,9900540505,0,5400,5400,2
85,MED ORTHO CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"NO 1309 , POORNAPRAJNA LAYOUT MAIN ROAD , UTTARAHALLI , BANGALORE-560061",BANGALORE,BLU02488ALCOC,15 Oct 2026,12.36,77.45,satish.hs88@gmail.com,8892203443,0,Buliding Area(sq.ft):,,4
86,NU Hospitals Private Limited,Specialty / Super-Specialty Specific Hospital,Allopathy,"4/1, West of Chord Road, Near ISKCON Temple,Rajajingar, Bangalore",BANGALORE,BLU12533ALSSH,05 Nov 2030,13..0121,77.5527,Phone:,9663943146,95,Buliding Area(sq.ft):,,1
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,Hospital (Level 1A),Allopathy,"BESIDE PETROL PUMP, OPP. VA HYPER MART, PARVATHI NAGAR MAIN ROAD, BALLARI",BALLARI,BEL00180ALH1A,16 Apr 2026,15.15264,76.92652,rakeshjanna84@gmail.com,9743925715,10,Buliding Area(sq.ft):,,2
88,SRI GANESHA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,SRI BANASHANKARI NILAYA DOOR NO 926/1A NITTUVALLI MAIN ROAD BHAGATH SING NAGARA DAVANAGERE,DAVANAGERE,DVG00260ALCOC,13 Feb 2027,14.45704,75.924616,drparasappagh6@gmail.com,9448728878,0,Buliding Area(sq.ft):,,4
89,TANMAY Diagnostic Center,Diagnostic Imaging Centre,Allopathy,"#276, Near Corporation Bank, Anjananagar, Magadi Main Road, Bangalore",BANGALORE,BLU02484ALDIC,10 Oct 2026,12.59,77.29,tdcbangalore@gmail.com,8494944984,0,Buliding Area(sq.ft):,,4
90,SRI ASHIRVADA CHILDRENS CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"near ex serviceman colony, by pass road, cowl bazaar, Ballari",BALLARI,BEL00245ALCOC,15 Aug 2026,15.13816,79.89726,dr.durgappaudbal76@gmail.com,9740090169,0,Buliding Area(sq.ft):,,2
