data_type,district_id,district_name,district_iso_code,state,state_iso_code,facility_type,facility_name,latitude,longitude,phone,address,specialization,degree,council,system_of_medicine,description
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,45,Dentistry,Dentistry medical council #16
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,46,Dentistry,Dentistry medical council #17
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,47,Dentistry,Dentistry medical council #18
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,48,Dentistry,Dentistry medical council #19
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,49,Dentistry,Dentistry medical council #20
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,50,Dentistry,Dentistry medical council #21
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,51,Dentistry,Dentistry medical council #22
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,52,Dentistry,Dentistry medical council #23
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,53,Dentistry,Dentistry medical council #24
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,54,Dentistry,Dentistry medical council #25
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,55,Dentistry,Dentistry medical council #26
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,56,Dentistry,Dentistry medical council #27
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,57,Dentistry,Dentistry medical council #28
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,58,Dentistry,Dentistry medical council #29
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,59,Dentistry,Dentistry medical council #30
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,60,Dentistry,Dentistry medical council #31
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,213,Dentistry,Dentistry medical council #32
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,221,Dentistry,Dentistry medical council #33
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,89.0,Ayurveda,Ayurveda medical council #1
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,90.0,Ayurveda,Ayurveda medical council #2
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,91.0,Ayurveda,Ayurveda medical council #3
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,92.0,Ayurveda,Ayurveda medical council #4
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,93.0,Ayurveda,Ayurveda medical council #5
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,94.0,Ayurveda,Ayurveda medical council #6
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,95.0,Ayurveda,Ayurveda medical council #7
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,96.0,Ayurveda,Ayurveda medical council #8
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,97.0,Ayurveda,Ayurveda medical council #9
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,98.0,Ayurveda,Ayurveda medical council #10
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,99.0,Ayurveda,Ayurveda medical council #11
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,100.0,Ayurveda,Ayurveda medical council #12
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,101.0,Ayurveda,Ayurveda medical council #13
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,102.0,Ayurveda,Ayurveda medical council #14
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,103.0,Ayurveda,Ayurveda medical council #15
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,104.0,Ayurveda,Ayurveda medical council #16
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,105.0,Ayurveda,Ayurveda medical council #17
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,106.0,Ayurveda,Ayurveda medical council #18
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,107.0,Ayurveda,Ayurveda medical council #19
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,108.0,Ayurveda,Ayurveda medical council #20
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,110.0,Ayurveda,Ayurveda medical council #21
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,112.0,Ayurveda,Ayurveda medical council #22
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,113.0,Ayurveda,Ayurveda medical council #23
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,114.0,Ayurveda,Ayurveda medical council #24
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,115.0,Ayurveda,Ayurveda medical council #25
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,216.0,Ayurveda,Ayurveda medical council #26
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,116.0,Unani,Unani medical council #1
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,120.0,Unani,Unani medical council #2
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,121.0,Unani,Unani medical council #3
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,122.0,Unani,Unani medical council #4
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,123.0,Unani,Unani medical council #5
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,124.0,Unani,Unani medical council #6
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,125.0,Unani,Unani medical council #7
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,126.0,Unani,Unani medical council #8
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,127.0,Unani,Unani medical council #9
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,128.0,Unani,Unani medical council #10
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,129.0,Unani,Unani medical council #11
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,130.0,Unani,Unani medical council #12
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,131.0,Unani,Unani medical council #13
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,132.0,Unani,Unani medical council #14
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,133.0,Unani,Unani medical council #15
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,134.0,Unani,Unani medical council #16
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,135.0,Unani,Unani medical council #17
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,136.0,Unani,Unani medical council #18
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,137.0,Unani,Unani medical council #19
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,138.0,Unani,Unani medical council #20
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,139.0,Unani,Unani medical council #21
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,140.0,Unani,Unani medical council #22
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,141.0,Unani,Unani medical council #23
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,142.0,Unani,Unani medical council #24
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,143.0,Unani,Unani medical council #25
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,111.0,Siddha,Siddha medical council #1
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,151.0,Siddha,Siddha medical council #2
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,152.0,Siddha,Siddha medical council #3
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,153.0,Siddha,Siddha medical council #4
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,154.0,Siddha,Siddha medical council #5
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,155.0,Siddha,Siddha medical council #6
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,156.0,Siddha,Siddha medical council #7
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,157.0,Siddha,Siddha medical council #8
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,158.0,Siddha,Siddha medical council #9
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,159.0,Siddha,Siddha medical council #10
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,160.0,Siddha,Siddha medical council #11
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,161.0,Siddha,Siddha medical council #12
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,162.0,Siddha,Siddha medical council #13
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,163.0,Siddha,Siddha medical council #14
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,164.0,Siddha,Siddha medical council #15
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,165.0,Siddha,Siddha medical council #16
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,166.0,Siddha,Siddha medical council #17
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,167.0,Siddha,Siddha medical council #18
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,168.0,Siddha,Siddha medical council #19
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,169.0,Siddha,Siddha medical council #20
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,170.0,Siddha,Siddha medical council #21
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,171.0,Siddha,Siddha medical council #22
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,173.0,Siddha,Siddha medical council #23
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,174.0,Siddha,Siddha medical council #24
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,175.0,Siddha,Siddha medical council #25
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,182.0,Sowa-Rigpa,Sowa-Rigpa medical council #1
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,183.0,Sowa-Rigpa,Sowa-Rigpa medical council #2
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,184.0,Sowa-Rigpa,Sowa-Rigpa medical council #3
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,185.0,Sowa-Rigpa,Sowa-Rigpa medical council #4
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,186.0,Sowa-Rigpa,Sowa-Rigpa medical council #5
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,187.0,Sowa-Rigpa,Sowa-Rigpa medical council #6
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,188.0,Sowa-Rigpa,Sowa-Rigpa medical council #7
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,189.0,Sowa-Rigpa,Sowa-Rigpa medical council #8
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,190.0,Sowa-Rigpa,Sowa-Rigpa medical council #9
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,191.0,Sowa-Rigpa,Sowa-Rigpa medical council #10
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,192.0,Sowa-Rigpa,Sowa-Rigpa medical council #11
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,193.0,Sowa-Rigpa,Sowa-Rigpa medical council #12
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,194.0,Sowa-Rigpa,Sowa-Rigpa medical council #13
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,195.0,Sowa-Rigpa,Sowa-Rigpa medical council #14
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,196.0,Sowa-Rigpa,Sowa-Rigpa medical council #15
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,197.0,Sowa-Rigpa,Sowa-Rigpa medical council #16
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,198.0,Sowa-Rigpa,Sowa-Rigpa medical council #17
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,199.0,Sowa-Rigpa,Sowa-Rigpa medical council #18
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,200.0,Sowa-Rigpa,Sowa-Rigpa medical council #19
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,201.0,Sowa-Rigpa,Sowa-Rigpa medical council #20
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,202.0,Sowa-Rigpa,Sowa-Rigpa medical council #21
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,203.0,Sowa-Rigpa,Sowa-Rigpa medical council #22
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,204.0,Sowa-Rigpa,Sowa-Rigpa medical council #23
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,205.0,Sowa-Rigpa,Sowa-Rigpa medical council #24
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,206.0,Sowa-Rigpa,Sowa-Rigpa medical council #25
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,61.0,Homeopathy,Homeopathy medical council #1
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,62.0,Homeopathy,Homeopathy medical council #2
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,63.0,Homeopathy,Homeopathy medical council #3
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,64.0,Homeopathy,Homeopathy medical council #4
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,66.0,Homeopathy,Homeopathy medical council #5
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,67.0,Homeopathy,Homeopathy medical council #6
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,68.0,Homeopathy,Homeopathy medical council #7
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,69.0,Homeopathy,Homeopathy medical council #8
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,70.0,Homeopathy,Homeopathy medical council #9
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,71.0,Homeopathy,Homeopathy medical council #10
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,72.0,Homeopathy,Homeopathy medical council #11
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,73.0,Homeopathy,Homeopathy medical council #12
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,74.0,Homeopathy,Homeopathy medical council #13
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,75.0,Homeopathy,Homeopathy medical council #14
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,76.0,Homeopathy,Homeopathy medical council #15
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,77.0,Homeopathy,Homeopathy medical council #16
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,78.0,Homeopathy,Homeopathy medical council #17
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,79.0,Homeopathy,Homeopathy medical council #18
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,80.0,Homeopathy,Homeopathy medical council #19
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,81.0,Homeopathy,Homeopathy medical council #20
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,82.0,Homeopathy,Homeopathy medical council #21
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,83.0,Homeopathy,Homeopathy medical council #22
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,84.0,Homeopathy,Homeopathy medical council #23
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,85.0,Homeopathy,Homeopathy medical council #24
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,86.0,Homeopathy,Homeopathy medical council #25
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,87.0,Homeopathy,Homeopathy medical council #26
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,88.0,Homeopathy,Homeopathy medical council #27
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,117.0,Homeopathy,Homeopathy medical council #28
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,119.0,Homeopathy,Homeopathy medical council #29
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,214.0,Homeopathy,Homeopathy medical council #30
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,220.0,Homeopathy,Homeopathy medical council #31
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,1842,,Modern Medicine,Modern Medicine degree #1
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,2005,,Modern Medicine,Modern Medicine degree #2
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,2009,,Modern Medicine,Modern Medicine degree #3
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,2326,,Modern Medicine,Modern Medicine degree #4
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3007,,Modern Medicine,Modern Medicine degree #5
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3012,,Modern Medicine,Modern Medicine degree #6
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3675,,Modern Medicine,Modern Medicine degree #7
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3677,,Modern Medicine,Modern Medicine degree #8
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3741,,Modern Medicine,Modern Medicine degree #9
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3744,,Modern Medicine,Modern Medicine degree #10
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3745,,Modern Medicine,Modern Medicine degree #11
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3746,,Modern Medicine,Modern Medicine degree #12
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3753,,Modern Medicine,Modern Medicine degree #13
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3755,,Modern Medicine,Modern Medicine degree #14
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3760,,Modern Medicine,Modern Medicine degree #15
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3777,,Modern Medicine,Modern Medicine degree #16
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3780,,Modern Medicine,Modern Medicine degree #17
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3782,,Modern Medicine,Modern Medicine degree #18
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3787,,Modern Medicine,Modern Medicine degree #19
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3790,,Modern Medicine,Modern Medicine degree #20
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3791,,Modern Medicine,Modern Medicine degree #21
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3792,,Modern Medicine,Modern Medicine degree #22
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3794,,Modern Medicine,Modern Medicine degree #23
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3795,,Modern Medicine,Modern Medicine degree #24
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3797,,Modern Medicine,Modern Medicine degree #25
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3798,,Modern Medicine,Modern Medicine degree #26
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3804,,Modern Medicine,Modern Medicine degree #27
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3806,,Modern Medicine,Modern Medicine degree #28
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3807,,Modern Medicine,Modern Medicine degree #29
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3817,,Modern Medicine,Modern Medicine degree #30
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3818,,Modern Medicine,Modern Medicine degree #31
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3820,,Modern Medicine,Modern Medicine degree #32
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3821,,Modern Medicine,Modern Medicine degree #33
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3825,,Modern Medicine,Modern Medicine degree #34
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3827,,Modern Medicine,Modern Medicine degree #35
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3830,,Modern Medicine,Modern Medicine degree #36
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3831,,Modern Medicine,Modern Medicine degree #37
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3834,,Modern Medicine,Modern Medicine degree #38
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3841,,Modern Medicine,Modern Medicine degree #39
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3897,,Modern Medicine,Modern Medicine degree #40
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3907,,Modern Medicine,Modern Medicine degree #41
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3909,,Modern Medicine,Modern Medicine degree #42
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3911,,Modern Medicine,Modern Medicine degree #43
DEGREE_REFERENCE,,,,KARNATAKA,29,,,,,,,,3916,,Modern Medicine,Modern Medicine degree #44
