establishment_id,establishment_name,certificate_name,expiry_date
13,SAPTHAGIRI SKIN CARE CLINIC.,Occupancy Certificate,
13,SAPTHAGIRI SKIN CARE CLINIC.,Floor Plans,
14,GAYATRI NURSING HOME,Floor Plans,
14,GAYATRI NURSING HOME,Front View Photograph,
14,GAYATRI NURSING HOME,Occupancy Certificate,
14,GAYATRI NURSING HOME,Fire Safety Certificate,
14,GAYATRI NURSING HOME,PCB Certificate,
16,SRI GANESH XRAY DIAGNOSTIC CENTRE,Floor Plans,
16,SRI GANESH XRAY DIAGNOSTIC CENTRE,Front View Photograph,
16,SRI GANESH XRAY DIAGNOSTIC CENTRE,Occupancy Certificate,
16,SRI GANESH XRAY DIAGNOSTIC CENTRE,Fire Safety Certificate,31/12/2027
16,SRI GANESH XRAY DIAGNOSTIC CENTRE,PCB Certificate,31/12/2050
15,Sanjeevini Hospital,Floor Plans,
15,Sanjeevini Hospital,Occupancy Certificate,
15,Sanjeevini Hospital,PCB Certificate,30/09/2021
15,Sanjeevini Hospital,Front View Photograph,
15,Sanjeevini Hospital,Fire Safety Certificate,30/10/2021
17,SRI KRISHNA HOSPITALS AND HEALTHCARE,Floor Plans,
17,SRI KRISHNA HOSPITALS AND HEALTHCARE,Front View Photograph,
17,SRI KRISHNA HOSPITALS AND HEALTHCARE,Occupancy Certificate,
17,SRI KRISHNA HOSPITALS AND HEALTHCARE,Fire Safety Certificate,
17,SRI KRISHNA HOSPITALS AND HEALTHCARE,PCB Certificate,
17,SRI KRISHNA HOSPITALS AND HEALTHCARE,Trade License,31/03/2020
18,VIVEKANANDA CLINIC,Floor Plans,
18,VIVEKANANDA CLINIC,Front View Photograph,
18,VIVEKANANDA CLINIC,Occupancy Certificate,
18,VIVEKANANDA CLINIC,Fire Safety Certificate,
18,VIVEKANANDA CLINIC,PCB Certificate,
20,JHANVI EYE CARE,Occupancy Certificate,
20,JHANVI EYE CARE,PCB Certificate,
20,JHANVI EYE CARE,Fire Safety Certificate,
20,JHANVI EYE CARE,Front View Photograph,
20,JHANVI EYE CARE,Floor Plans,
19,PATIL CLINIC,Floor Plans,
19,PATIL CLINIC,Front View Photograph,
19,PATIL CLINIC,Occupancy Certificate,
19,PATIL CLINIC,Fire Safety Certificate,
19,PATIL CLINIC,PCB Certificate,
22,ANUGRAHA CLINIC,Floor Plans,
22,ANUGRAHA CLINIC,Front View Photograph,
22,ANUGRAHA CLINIC,Occupancy Certificate,
22,ANUGRAHA CLINIC,Fire Safety Certificate,
22,ANUGRAHA CLINIC,PCB Certificate,
23,Glow & grow,Front View Photograph,
23,Glow & grow,Occupancy Certificate,
23,Glow & grow,Floor Plans,
23,Glow & grow,PCB Certificate,
23,Glow & grow,Fire Safety Certificate,
24,Trinity Dental Care,Floor Plans,
24,Trinity Dental Care,Front View Photograph,
24,Trinity Dental Care,Occupancy Certificate,
24,Trinity Dental Care,Fire Safety Certificate,29/06/2023
24,Trinity Dental Care,PCB Certificate,04/05/2030
21,V CARE MEDISCON HOSPITAL,Floor Plans,
21,V CARE MEDISCON HOSPITAL,Front View Photograph,
21,V CARE MEDISCON HOSPITAL,PCB Certificate,
21,V CARE MEDISCON HOSPITAL,Occupancy Certificate,
21,V CARE MEDISCON HOSPITAL,Fire Safety Certificate,
25,BANASHANKARI CLINIC,Floor Plans,
25,BANASHANKARI CLINIC,Front View Photograph,
25,BANASHANKARI CLINIC,Occupancy Certificate,
25,BANASHANKARI CLINIC,Fire Safety Certificate,
25,BANASHANKARI CLINIC,PCB Certificate,
26,MITRA MEDICAL CENTRE,Floor Plans,
26,MITRA MEDICAL CENTRE,Front View Photograph,
26,MITRA MEDICAL CENTRE,Occupancy Certificate,
26,MITRA MEDICAL CENTRE,Fire Safety Certificate,
26,MITRA MEDICAL CENTRE,PCB Certificate,
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Floor Plans,
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Front View Photograph,
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Occupancy Certificate,
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,PCB Certificate,
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Fire Safety Certificate,
29,WALI ORTHOPAEDIC HOSPITAL,Floor Plans,
29,WALI ORTHOPAEDIC HOSPITAL,Front View Photograph,
29,WALI ORTHOPAEDIC HOSPITAL,Fire Safety Certificate,06/07/2022
29,WALI ORTHOPAEDIC HOSPITAL,PCB Certificate,11/08/2022
29,WALI ORTHOPAEDIC HOSPITAL,Occupancy Certificate,
28,CLINIC GOLDEN PROPORTIONS,Floor Plans,
28,CLINIC GOLDEN PROPORTIONS,Front View Photograph,
28,CLINIC GOLDEN PROPORTIONS,Occupancy Certificate,
28,CLINIC GOLDEN PROPORTIONS,Fire Safety Certificate,
28,CLINIC GOLDEN PROPORTIONS,PCB Certificate,
28,CLINIC GOLDEN PROPORTIONS,Trade License,31/03/2021
30,City hospital,Fire Safety Certificate,
30,City hospital,PCB Certificate,
30,City hospital,Front View Photograph,
30,City hospital,Floor Plans,
30,City hospital,Occupancy Certificate,
31,Sukshema Health Clinic,PCB Certificate,
31,Sukshema Health Clinic,Front View Photograph,
31,Sukshema Health Clinic,Floor Plans,
31,Sukshema Health Clinic,Occupancy Certificate,
31,Sukshema Health Clinic,Fire Safety Certificate,28/07/2023
32,Sri Raghavendra Clinic,Floor Plans,
32,Sri Raghavendra Clinic,Occupancy Certificate,
32,Sri Raghavendra Clinic,Fire Safety Certificate,
32,Sri Raghavendra Clinic,PCB Certificate,
32,Sri Raghavendra Clinic,Front View Photograph,
33,TEMPLE HEALTH CLINIC,Floor Plans,
33,TEMPLE HEALTH CLINIC,Front View Photograph,
33,TEMPLE HEALTH CLINIC,Occupancy Certificate,
33,TEMPLE HEALTH CLINIC,Fire Safety Certificate,
33,TEMPLE HEALTH CLINIC,PCB Certificate,
35,KALAVATI CLINIC,Front View Photograph,
35,KALAVATI CLINIC,Occupancy Certificate,
35,KALAVATI CLINIC,Fire Safety Certificate,
35,KALAVATI CLINIC,Floor Plans,
35,KALAVATI CLINIC,PCB Certificate,
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Floor Plans,
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Front View Photograph,
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Occupancy Certificate,
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Fire Safety Certificate,
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,PCB Certificate,
36,Dentalglen Dental Clinic,Floor Plans,
36,Dentalglen Dental Clinic,Front View Photograph,
36,Dentalglen Dental Clinic,Occupancy Certificate,
36,Dentalglen Dental Clinic,Fire Safety Certificate,
36,Dentalglen Dental Clinic,PCB Certificate,
37,SANJIVANI CHILD CARE,Floor Plans,
37,SANJIVANI CHILD CARE,Front View Photograph,
37,SANJIVANI CHILD CARE,Occupancy Certificate,
37,SANJIVANI CHILD CARE,Fire Safety Certificate,
37,SANJIVANI CHILD CARE,PCB Certificate,
38,AMAR CLINIC,Floor Plans,
38,AMAR CLINIC,Front View Photograph,
38,AMAR CLINIC,PCB Certificate,
38,AMAR CLINIC,Occupancy Certificate,
38,AMAR CLINIC,Fire Safety Certificate,
39,PRAGATHI HOSPITAL,PCB Certificate,
39,PRAGATHI HOSPITAL,Front View Photograph,
39,PRAGATHI HOSPITAL,Floor Plans,
39,PRAGATHI HOSPITAL,Occupancy Certificate,
39,PRAGATHI HOSPITAL,Fire Safety Certificate,31/12/2025
41,TASMIA CLINIC,Front View Photograph,
41,TASMIA CLINIC,Fire Safety Certificate,
41,TASMIA CLINIC,PCB Certificate,
41,TASMIA CLINIC,Floor Plans,
41,TASMIA CLINIC,Occupancy Certificate,
42,ADARSH HEART CARE AND MULTISPECIALITY HOSPITAL PRIVATE LIMITED,Floor Plans,
42,ADARSH HEART CARE AND MULTISPECIALITY HOSPITAL PRIVATE LIMITED,Front View Photograph,
42,ADARSH HEART CARE AND MULTISPECIALITY HOSPITAL PRIVATE LIMITED,Occupancy Certificate,
42,ADARSH HEART CARE AND MULTISPECIALITY HOSPITAL PRIVATE LIMITED,Fire Safety Certificate,
42,ADARSH HEART CARE AND MULTISPECIALITY HOSPITAL PRIVATE LIMITED,PCB Certificate,
43,DR K.G.KULKARNI HOSPITAL,Front View Photograph,
43,DR K.G.KULKARNI HOSPITAL,Floor Plans,
43,DR K.G.KULKARNI HOSPITAL,PCB Certificate,
43,DR K.G.KULKARNI HOSPITAL,Occupancy Certificate,
43,DR K.G.KULKARNI HOSPITAL,Fire Safety Certificate,03/11/2021
44,PADMA CLINC,Floor Plans,
44,PADMA CLINC,Front View Photograph,
44,PADMA CLINC,Occupancy Certificate,
44,PADMA CLINC,Fire Safety Certificate,
44,PADMA CLINC,PCB Certificate,
40,SRI DEVI HOSPITAL,Floor Plans,
40,SRI DEVI HOSPITAL,Front View Photograph,
40,SRI DEVI HOSPITAL,PCB Certificate,
40,SRI DEVI HOSPITAL,Occupancy Certificate,
40,SRI DEVI HOSPITAL,Fire Safety Certificate,07/09/2022
45,AYUR HEALTH CLINIC,Front View Photograph,
45,AYUR HEALTH CLINIC,Floor Plans,
45,AYUR HEALTH CLINIC,PCB Certificate,31/01/2023
45,AYUR HEALTH CLINIC,Occupancy Certificate,
45,AYUR HEALTH CLINIC,Fire Safety Certificate,21/08/2023
46,LIFECELL INTERNATIONAL PVT.LTD.,Floor Plans,
46,LIFECELL INTERNATIONAL PVT.LTD.,Front View Photograph,
46,LIFECELL INTERNATIONAL PVT.LTD.,Occupancy Certificate,
46,LIFECELL INTERNATIONAL PVT.LTD.,Fire Safety Certificate,17/07/2030
46,LIFECELL INTERNATIONAL PVT.LTD.,PCB Certificate,
48,PARVATHI CLINIC,Floor Plans,
48,PARVATHI CLINIC,Occupancy Certificate,
48,PARVATHI CLINIC,Front View Photograph,
48,PARVATHI CLINIC,PCB Certificate,
48,PARVATHI CLINIC,Fire Safety Certificate,
47,SRI AROGYA HOSPITAL,Floor Plans,
47,SRI AROGYA HOSPITAL,Front View Photograph,
47,SRI AROGYA HOSPITAL,Occupancy Certificate,
47,SRI AROGYA HOSPITAL,Fire Safety Certificate,
47,SRI AROGYA HOSPITAL,PCB Certificate,
49,shambhavi dental clinic,Floor Plans,
49,shambhavi dental clinic,Front View Photograph,
49,shambhavi dental clinic,Occupancy Certificate,
49,shambhavi dental clinic,PCB Certificate,
49,shambhavi dental clinic,Fire Safety Certificate,
50,ASHWINI CLINIC,Floor Plans,
50,ASHWINI CLINIC,Front View Photograph,
50,ASHWINI CLINIC,Occupancy Certificate,
50,ASHWINI CLINIC,Fire Safety Certificate,
50,ASHWINI CLINIC,PCB Certificate,
51,SAI CLINIC,Floor Plans,
51,SAI CLINIC,Front View Photograph,
51,SAI CLINIC,Occupancy Certificate,
51,SAI CLINIC,Fire Safety Certificate,
51,SAI CLINIC,PCB Certificate,
52,CITY DENTAL CLINIC,Floor Plans,
52,CITY DENTAL CLINIC,Front View Photograph,
52,CITY DENTAL CLINIC,Occupancy Certificate,
52,CITY DENTAL CLINIC,Fire Safety Certificate,
52,CITY DENTAL CLINIC,PCB Certificate,
53,Dreams Foundation,Floor Plans,
53,Dreams Foundation,Front View Photograph,
53,Dreams Foundation,Occupancy Certificate,
53,Dreams Foundation,Fire Safety Certificate,
53,Dreams Foundation,PCB Certificate,
54,DR. GURUSHANTAPPA YALAGACHIN CLINIC,Floor Plans,
54,DR. GURUSHANTAPPA YALAGACHIN CLINIC,Front View Photograph,
54,DR. GURUSHANTAPPA YALAGACHIN CLINIC,Occupancy Certificate,
54,DR. GURUSHANTAPPA YALAGACHIN CLINIC,Fire Safety Certificate,
54,DR. GURUSHANTAPPA YALAGACHIN CLINIC,PCB Certificate,
55,Plexus Neuro and Stem Cell Research Centre,Floor Plans,
55,Plexus Neuro and Stem Cell Research Centre,Front View Photograph,
55,Plexus Neuro and Stem Cell Research Centre,Occupancy Certificate,
55,Plexus Neuro and Stem Cell Research Centre,PCB Certificate,
55,Plexus Neuro and Stem Cell Research Centre,Fire Safety Certificate,
56,DR.SOLANKI EYE HOSPITAL PVT LTD,Floor Plans,
56,DR.SOLANKI EYE HOSPITAL PVT LTD,Front View Photograph,
56,DR.SOLANKI EYE HOSPITAL PVT LTD,Occupancy Certificate,
56,DR.SOLANKI EYE HOSPITAL PVT LTD,Fire Safety Certificate,
56,DR.SOLANKI EYE HOSPITAL PVT LTD,PCB Certificate,
58,HSN Super Speciality Hair Transplantation Centre,Floor Plans,
58,HSN Super Speciality Hair Transplantation Centre,Front View Photograph,
58,HSN Super Speciality Hair Transplantation Centre,Occupancy Certificate,
58,HSN Super Speciality Hair Transplantation Centre,Fire Safety Certificate,
58,HSN Super Speciality Hair Transplantation Centre,PCB Certificate,
57,J K SPECIALITY HOSPITAL,Floor Plans,
57,J K SPECIALITY HOSPITAL,Front View Photograph,
57,J K SPECIALITY HOSPITAL,Occupancy Certificate,
57,J K SPECIALITY HOSPITAL,Fire Safety Certificate,
57,J K SPECIALITY HOSPITAL,PCB Certificate,
59,DAWN CLINIC,Floor Plans,
59,DAWN CLINIC,Front View Photograph,
59,DAWN CLINIC,Occupancy Certificate,
59,DAWN CLINIC,Fire Safety Certificate,
59,DAWN CLINIC,PCB Certificate,
60,SADIYA DAY CARE CENTRE,Floor Plans,
60,SADIYA DAY CARE CENTRE,Front View Photograph,
60,SADIYA DAY CARE CENTRE,Occupancy Certificate,
60,SADIYA DAY CARE CENTRE,Fire Safety Certificate,
60,SADIYA DAY CARE CENTRE,PCB Certificate,
62,SPANDAN CLINIC AND JANANI FERTILITY CENTRE,Occupancy Certificate,
62,SPANDAN CLINIC AND JANANI FERTILITY CENTRE,Fire Safety Certificate,01/12/2025
62,SPANDAN CLINIC AND JANANI FERTILITY CENTRE,PCB Certificate,30/08/2030
62,SPANDAN CLINIC AND JANANI FERTILITY CENTRE,Floor Plans,
62,SPANDAN CLINIC AND JANANI FERTILITY CENTRE,Front View Photograph,
63,SHRI MALLIKARJUN CLINIC,Floor Plans,
63,SHRI MALLIKARJUN CLINIC,Front View Photograph,
63,SHRI MALLIKARJUN CLINIC,Occupancy Certificate,
63,SHRI MALLIKARJUN CLINIC,Fire Safety Certificate,
63,SHRI MALLIKARJUN CLINIC,PCB Certificate,
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Floor Plans,
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Front View Photograph,
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Fire Safety Certificate,05/11/2021
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Occupancy Certificate,
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,PCB Certificate,01/10/2021
64,Smiles Institute of Gastroenterology LLP,Floor Plans,
64,Smiles Institute of Gastroenterology LLP,Front View Photograph,
64,Smiles Institute of Gastroenterology LLP,Occupancy Certificate,
64,Smiles Institute of Gastroenterology LLP,Fire Safety Certificate,25/02/2020
64,Smiles Institute of Gastroenterology LLP,PCB Certificate,
65,Kanthi Nursing Home,Front View Photograph,
65,Kanthi Nursing Home,Floor Plans,
65,Kanthi Nursing Home,PCB Certificate,06/08/2026
65,Kanthi Nursing Home,Fire Safety Certificate,25/12/2021
65,Kanthi Nursing Home,Occupancy Certificate,
67,OSMANIA HEALTH CARE CENTRE,Floor Plans,
67,OSMANIA HEALTH CARE CENTRE,Occupancy Certificate,
67,OSMANIA HEALTH CARE CENTRE,Fire Safety Certificate,31/03/2021
67,OSMANIA HEALTH CARE CENTRE,PCB Certificate,31/03/2021
67,OSMANIA HEALTH CARE CENTRE,Front View Photograph,
66,SHRI LAXMI CLINIC,Floor Plans,
66,SHRI LAXMI CLINIC,Front View Photograph,
66,SHRI LAXMI CLINIC,Occupancy Certificate,
66,SHRI LAXMI CLINIC,Fire Safety Certificate,15/11/2022
66,SHRI LAXMI CLINIC,PCB Certificate,07/07/2023
68,ST. JOHNS HEALTH CENTRE,Floor Plans,
68,ST. JOHNS HEALTH CENTRE,Front View Photograph,
68,ST. JOHNS HEALTH CENTRE,Occupancy Certificate,
68,ST. JOHNS HEALTH CENTRE,Fire Safety Certificate,10/02/2021
68,ST. JOHNS HEALTH CENTRE,PCB Certificate,17/02/2120
68,ST. JOHNS HEALTH CENTRE,Trade License,31/03/2020
71,Kavalur Clinic,Front View Photograph,
71,Kavalur Clinic,Floor Plans,
71,Kavalur Clinic,PCB Certificate,
71,Kavalur Clinic,Occupancy Certificate,
71,Kavalur Clinic,Fire Safety Certificate,
69,SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,PCB Certificate,
69,SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,Front View Photograph,
69,SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,Floor Plans,
69,SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,Occupancy Certificate,
69,SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,Fire Safety Certificate,
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,Floor Plans,
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,Front View Photograph,
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,Fire Safety Certificate,
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,PCB Certificate,
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,Occupancy Certificate,
74,Kiranagi Clinic,Floor Plans,
74,Kiranagi Clinic,Front View Photograph,
74,Kiranagi Clinic,PCB Certificate,
74,Kiranagi Clinic,Occupancy Certificate,
74,Kiranagi Clinic,Fire Safety Certificate,
73,KOUJALGI CLINIC,Floor Plans,
73,KOUJALGI CLINIC,Fire Safety Certificate,31/03/2022
73,KOUJALGI CLINIC,PCB Certificate,31/03/2022
73,KOUJALGI CLINIC,Front View Photograph,
73,KOUJALGI CLINIC,Occupancy Certificate,
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,Floor Plans,
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,Front View Photograph,
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,Occupancy Certificate,
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,Fire Safety Certificate,
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,PCB Certificate,
75,SADHANA CLINICAL LABORATORY,PCB Certificate,31/05/2021
75,SADHANA CLINICAL LABORATORY,Occupancy Certificate,
75,SADHANA CLINICAL LABORATORY,Floor Plans,
75,SADHANA CLINICAL LABORATORY,Front View Photograph,
75,SADHANA CLINICAL LABORATORY,Fire Safety Certificate,01/12/2020
76,MAHADESWARA CLINIC,Floor Plans,
76,MAHADESWARA CLINIC,Occupancy Certificate,
76,MAHADESWARA CLINIC,Fire Safety Certificate,
76,MAHADESWARA CLINIC,Front View Photograph,
76,MAHADESWARA CLINIC,PCB Certificate,
78,LOTUS CHILDRENS CLINIC,Floor Plans,
78,LOTUS CHILDRENS CLINIC,Front View Photograph,
78,LOTUS CHILDRENS CLINIC,Occupancy Certificate,
78,LOTUS CHILDRENS CLINIC,Fire Safety Certificate,
78,LOTUS CHILDRENS CLINIC,PCB Certificate,
79,CHIRAYU CLINIC,Front View Photograph,
79,CHIRAYU CLINIC,PCB Certificate,
79,CHIRAYU CLINIC,Occupancy Certificate,
79,CHIRAYU CLINIC,Fire Safety Certificate,
79,CHIRAYU CLINIC,Floor Plans,
81,MEDICO PASTORAL ASSOCIATION,Floor Plans,
81,MEDICO PASTORAL ASSOCIATION,Front View Photograph,
81,MEDICO PASTORAL ASSOCIATION,Occupancy Certificate,
81,MEDICO PASTORAL ASSOCIATION,Fire Safety Certificate,12/09/2020
81,MEDICO PASTORAL ASSOCIATION,PCB Certificate,30/09/2028
81,MEDICO PASTORAL ASSOCIATION,Trade License,31/03/2020
82,SHRIYA DIAGNOSTIC CENTRE,Fire Safety Certificate,
82,SHRIYA DIAGNOSTIC CENTRE,Occupancy Certificate,
82,SHRIYA DIAGNOSTIC CENTRE,Front View Photograph,
82,SHRIYA DIAGNOSTIC CENTRE,PCB Certificate,
82,SHRIYA DIAGNOSTIC CENTRE,Floor Plans,
80,ST JOSEPH HOSPITAL,Floor Plans,
80,ST JOSEPH HOSPITAL,Front View Photograph,
80,ST JOSEPH HOSPITAL,Occupancy Certificate,
80,ST JOSEPH HOSPITAL,Fire Safety Certificate,
80,ST JOSEPH HOSPITAL,PCB Certificate,
83,Akshaya Clinic and Diacare Center,Floor Plans,
83,Akshaya Clinic and Diacare Center,Front View Photograph,
83,Akshaya Clinic and Diacare Center,Occupancy Certificate,
83,Akshaya Clinic and Diacare Center,Fire Safety Certificate,04/03/2025
83,Akshaya Clinic and Diacare Center,PCB Certificate,16/12/2022
83,Akshaya Clinic and Diacare Center,Trade License,31/03/2020
84,SHREE SHREE SHREE SIDDALINGESHWARA YOGAVANA HILLS REGD,Floor Plans,
84,SHREE SHREE SHREE SIDDALINGESHWARA YOGAVANA HILLS REGD,Front View Photograph,
84,SHREE SHREE SHREE SIDDALINGESHWARA YOGAVANA HILLS REGD,Occupancy Certificate,
84,SHREE SHREE SHREE SIDDALINGESHWARA YOGAVANA HILLS REGD,Fire Safety Certificate,31/12/2025
84,SHREE SHREE SHREE SIDDALINGESHWARA YOGAVANA HILLS REGD,PCB Certificate,31/12/2025
85,MED ORTHO CLINIC,Floor Plans,
85,MED ORTHO CLINIC,Occupancy Certificate,
85,MED ORTHO CLINIC,PCB Certificate,
85,MED ORTHO CLINIC,Front View Photograph,
85,MED ORTHO CLINIC,Fire Safety Certificate,
88,SRI GANESHA CLINIC,Floor Plans,
88,SRI GANESHA CLINIC,Front View Photograph,
88,SRI GANESHA CLINIC,Occupancy Certificate,
88,SRI GANESHA CLINIC,PCB Certificate,
88,SRI GANESHA CLINIC,Fire Safety Certificate,
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,Floor Plans,
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,Front View Photograph,
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,Occupancy Certificate,
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,Fire Safety Certificate,
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,PCB Certificate,
