establishment_id,establishment_name,treatment_name,treatment_code,amount
21,V CARE MEDISCON HOSPITAL,Monitor charges,-,500.00
21,V CARE MEDISCON HOSPITAL,I V injection,-,50.00
21,V CARE MEDISCON HOSPITAL,IM Injection,-,30.00
21,V CARE MEDISCON HOSPITAL,BP check,-,30.00
21,V CARE MEDISCON HOSPITAL,copper T removal,-,5000.00
21,V CARE MEDISCON HOSPITAL,Cervical Biopsy,-,5000.00
21,V CARE MEDISCON HOSPITAL,Copper T insertion,-,500.00
25,BANASHANKARI CLINIC,GRBS,-,50.00
25,BANASHANKARI CLINIC,Dressing,-,40.00
25,BANASHANKARI CLINIC,Blood pressur BP,-,30.00
25,BANASHANKARI CLINIC,Nebulizers,-,50.00
25,BANASHANKARI CLINIC,Weighing cheak,-,10.00
26,MITRA MEDICAL CENTRE,BP CHECUP,-,200.00
26,MITRA MEDICAL CENTRE,SUGAR TEST,-,500.00
26,MITRA MEDICAL CENTRE,ECG,-,400.00
26,MITRA MEDICAL CENTRE,SCANNING,-,1500.00
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Consultation Fee (per Month),-,500.00
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Followup Fee,-,200.00
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Dressing Minor,-,200.00
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Dressing Major,-,400.00
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Biopsy Charge,-,3500.00
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Nasal Endoscopy,-,1000.00
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Oto Rhino Scopy,-,1000.00
27,SAMHITH SUPERSPECIALITY CANCER CENTRE AND SAMHITH ENT CARE CENTRE,Day Care Charges,-,1000.00
29,WALI ORTHOPAEDIC HOSPITAL,Dressing,-,250.00
29,WALI ORTHOPAEDIC HOSPITAL,Fastering,-,250.00
29,WALI ORTHOPAEDIC HOSPITAL,Injection,-,150.00
28,CLINIC GOLDEN PROPORTIONS,scaling and polishing,-,1200.00
28,CLINIC GOLDEN PROPORTIONS,root canal,-,4000.00
28,CLINIC GOLDEN PROPORTIONS,GIC restoration,-,400.00
28,CLINIC GOLDEN PROPORTIONS,composite restoration,-,700.00
30,City hospital,dnc,-,3500.00
30,City hospital,normal delivery,-,8000.00
30,City hospital,lscs,-,28000.00
30,City hospital,tubectomy,-,5000.00
31,Sukshema Health Clinic,ECG and Opinion,-,200.00
32,Sri Raghavendra Clinic,consultation,-,100.00
33,TEMPLE HEALTH CLINIC,TMT,-,1500.00
35,KALAVATI CLINIC,HOMEOPATHIC MEDICINE,-,100.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Consultation Fee,-,300.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Removable Partial Denture per Tooth,-,1000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Cast Partial Denture per Arch,-,30000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Conventional Complete Denture,-,30000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Special/BPS Complete Denture,-,50000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Implant per Implant,-,50000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Specialist Consultation,-,500.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,4 IOPA X-Ray,-,500.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,4 OPG/Lateral Ceph,-,1000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Simple Extraction,-,1000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Complicated/Open Extraction,-,4000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Surgical Extraction of impacted tooth,-,10000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Minor Oral Surgical - Soft tissue surgery,-,5000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Minor Oral Surgical - Hard tissue surgery,-,7000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Scaling,-,3000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Periodontal Surgeries per Quadrant,-,7000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Filling/Restoration,-,3000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Root Canal Treatment (RCT),-,8000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Microscopic RCT,-,15000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Post & Core Restoration,-,5000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Bleaching or Tooth Whitening,-,10000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Crown - Full Metal,-,5000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Crown - Ceramic,-,5000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Crown Metal Free Ceramic,-,15000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Orthodontic Treatment,-,80000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Adjuctive Orthodontic Treatments - Functional Appliance,-,30000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Adjuctive Orthodontic Treatments - Micro Implants,-,30000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Peadiatric Dentistry,-,2000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Peadiatric Dentistry - Pulpotomy/Pulpectomy,-,3000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Peadiatric Dentistry - Extraction,-,1000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Peadiatric Dentistry - Space Maintainer,-,3000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Peadiatric Dentistry - Pit & Fissure Sealants (per tooth),-,2000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Peadiatric Dentistry - Flouride Application (Full mouth),-,5000.00
34,SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Peadiatric Dentistry - Stainless Steel Crown,-,3000.00
36,Dentalglen Dental Clinic,ROOT CANAL TREATMENT,-,3000.00
36,Dentalglen Dental Clinic,IMPLATATION,-,5000.00
36,Dentalglen Dental Clinic,COMPOSITE RESTONATIN,-,1000.00
36,Dentalglen Dental Clinic,SCALIENG,-,1000.00
36,Dentalglen Dental Clinic,FLAP SWELING PER PATIENT,-,3000.00
37,SANJIVANI CHILD CARE,DRESSING SMALL BIG,-,100.00
37,SANJIVANI CHILD CARE,HOUSE VISIT,-,350.00
37,SANJIVANI CHILD CARE,FLUIDS,-,100.00
37,SANJIVANI CHILD CARE,Nebulization,-,100.00
37,SANJIVANI CHILD CARE,GRBS BP CHECK UP,-,50.00
38,AMAR CLINIC,Consultation FEE,-,80.00
38,AMAR CLINIC,Nebulization,-,50.00
39,PRAGATHI HOSPITAL,BLOWELBOW POP,-,500.00
39,PRAGATHI HOSPITAL,ABOVE ELBOW POP,-,750.00
39,PRAGATHI HOSPITAL,U SLAB CAST,-,750.00
39,PRAGATHI HOSPITAL,ABOVE KNEE POP,-,1000.00
41,TASMIA CLINIC,MEDICINE,-,50.00
42,ADARSH HEART CARE AND MULTISPECIALITY HOSPITAL PRIVATE LIMITED,AS PER CONSULTATION,-,300.00
43,DR K.G.KULKARNI HOSPITAL,MINOR SURGERY,-,1000.00
44,PADMA CLINC,Nebulization Fees,-,200.00
44,PADMA CLINC,Swarna Bindhu,-,150.00
44,PADMA CLINC,Dressing Small,-,50.00
44,PADMA CLINC,Dressing Big,-,100.00
44,PADMA CLINC,House Visit,-,300.00
40,SRI DEVI HOSPITAL,HYSTRECTOMY,-,58000.00
40,SRI DEVI HOSPITAL,LAPROSOPIC HTSTRECTOMY,-,94500.00
40,SRI DEVI HOSPITAL,KIDNEY STONE,-,52000.00
40,SRI DEVI HOSPITAL,URS DJ STUNT,-,52000.00
40,SRI DEVI HOSPITAL,PCNL UNILATERAL,-,81000.00
40,SRI DEVI HOSPITAL,TURP,-,55000.00
40,SRI DEVI HOSPITAL,TYMPANOPLASTY,-,40500.00
40,SRI DEVI HOSPITAL,FESS,-,32500.00
40,SRI DEVI HOSPITAL,SEPTOPLASTY,-,22500.00
40,SRI DEVI HOSPITAL,MASTERCTOMY,-,32500.00
45,AYUR HEALTH CLINIC,ONLY CONSULTATION,-,80.00
46,LIFECELL INTERNATIONAL PVT.LTD.,BP CHECAP,-,300.00
48,PARVATHI CLINIC,SMALL DRESSING,-,50.00
48,PARVATHI CLINIC,MEDIUM DRESSING,-,100.00
48,PARVATHI CLINIC,CONSULTATION CHARGE,-,100.00
47,SRI AROGYA HOSPITAL,DRESSING SMALL,-,100.00
47,SRI AROGYA HOSPITAL,DRESSING BIG,-,150.00
47,SRI AROGYA HOSPITAL,SETURING EACH,-,100.00
47,SRI AROGYA HOSPITAL,OBERVATION PER DAY,-,1500.00
47,SRI AROGYA HOSPITAL,GENERAL WARD CHARGE PER DAY,-,800.00
47,SRI AROGYA HOSPITAL,SEMI WARD PER DAY,-,1200.00
47,SRI AROGYA HOSPITAL,INJECTION IV,-,100.00
47,SRI AROGYA HOSPITAL,INJECTION IM,-,50.00
49,shambhavi dental clinic,EXTRACTION OF TOOTH,-,400.00
49,shambhavi dental clinic,ROOT CANAL TREATMENT,-,3000.00
49,shambhavi dental clinic,SCALING,-,1000.00
49,shambhavi dental clinic,GIC FILLING,-,500.00
49,shambhavi dental clinic,FPD METAL CROWN SINGLE UNIT,-,1500.00
49,shambhavi dental clinic,FPD CERAMIC CROWN SINGLE UNIT,-,3000.00
49,shambhavi dental clinic,COMPLETE DENTURE,-,10000.00
49,shambhavi dental clinic,X RAY,-,200.00
49,shambhavi dental clinic,OPERCULECTOMY,-,500.00
49,shambhavi dental clinic,DISIMPACTION,-,3000.00
49,shambhavi dental clinic,RPD SINGLE UNIT,-,800.00
49,shambhavi dental clinic,RPD FLEXIBLE PER ARCH,-,2000.00
49,shambhavi dental clinic,COMPOSIT FILLING,-,1200.00
49,shambhavi dental clinic,SILVER FILLING,-,800.00
49,shambhavi dental clinic,FILLING,-,1000.00
50,ASHWINI CLINIC,BP CHECKUP,-,50.00
51,SAI CLINIC,Consulatation,-,150.00
52,CITY DENTAL CLINIC,SIMPLE EXTRACTION,-,200.00
52,CITY DENTAL CLINIC,STEEL CROWN,-,1000.00
52,CITY DENTAL CLINIC,ROOT CANAL TREATMENT,-,1500.00
52,CITY DENTAL CLINIC,COMPOSITE RESTRACTION,-,400.00
52,CITY DENTAL CLINIC,ORAL PROPHYLAXIS,-,500.00
53,Dreams Foundation,BP,-,50.00
53,Dreams Foundation,SUGAR,-,50.00
53,Dreams Foundation,INJECTION,-,50.00
54,DR. GURUSHANTAPPA YALAGACHIN CLINIC,Followup Fee,-,100.00
55,Plexus Neuro and Stem Cell Research Centre,Not Applicable,-,0.00
56,DR.SOLANKI EYE HOSPITAL PVT LTD,CONSULTATION,-,500.00
58,HSN Super Speciality Hair Transplantation Centre,Therapy,-,5000.00
57,J K SPECIALITY HOSPITAL,BP CHEKUP,-,200.00
59,DAWN CLINIC,INJECTION,-,100.00
60,SADIYA DAY CARE CENTRE,Consultation,-,100.00
62,SPANDAN CLINIC AND JANANI FERTILITY CENTRE,SPECULUM EXAMINATION,-,100.00
63,SHRI MALLIKARJUN CLINIC,HOMOEOPATHIC TREATMENT,-,400.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,agnilepa,-,900.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Shirodhara,-,850.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Kayaseka,-,750.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Netrakalpa,-,500.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Virechana,-,5500.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,nasya karma,-,300.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,matrabasti,-,600.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Anuvasana basti,-,600.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Asthapana basti,-,800.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Ksharakarma,-,600.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,Ksharasutra,-,1750.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,abhyanga and bhashpa sweda,-,850.00
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,udvarthana,-,800.00
64,Smiles Institute of Gastroenterology LLP,0,-,0.00
65,Kanthi Nursing Home,Noramal Delivery,-,5000.00
67,OSMANIA HEALTH CARE CENTRE,BED CHARGE,-,60.00
67,OSMANIA HEALTH CARE CENTRE,I V CHARGE,-,150.00
66,SHRI LAXMI CLINIC,dressing,-,50.00
66,SHRI LAXMI CLINIC,day care,-,400.00
66,SHRI LAXMI CLINIC,foreign body removal,-,100.00
66,SHRI LAXMI CLINIC,suture,-,100.00
66,SHRI LAXMI CLINIC,nebulization,-,50.00
66,SHRI LAXMI CLINIC,home visit,-,200.00
66,SHRI LAXMI CLINIC,bp check,-,50.00
66,SHRI LAXMI CLINIC,enima,-,200.00
68,ST. JOHNS HEALTH CENTRE,,-,1000.00
68,ST. JOHNS HEALTH CENTRE,,-,1000.00
71,Kavalur Clinic,ONLY BP CHECK UP,-,50.00
69,SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,Panchakarma therapy,-,500.00
69,SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,Raktamokshana,-,500.00
69,SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,vamana karma,-,2500.00
69,SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,virechana karma,-,2500.00
69,SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,Basti Karma,-,2000.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,CARDIOLOGY,-,500.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,GASTROENTEROLOGY,-,500.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,GENERAL SURGERY,-,300.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,GENERAL MEDICINE,-,300.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,ONCOLOGY MEDICAL,-,500.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,ONCOLOGY SURGICAL,-,500.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,ORTHOPAEDICS,-,300.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,UROLOGY,-,500.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,DIABETES AND ENDOCRINOLOGY,-,300.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,ENT,-,300.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,OBG,-,300.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,PAEDIATRICS,-,300.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,PSYCHIATRY,-,500.00
70,PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,PULMANOLOGY,-,500.00
74,Kiranagi Clinic,OPD,-,100.00
73,KOUJALGI CLINIC,ecg,-,300.00
73,KOUJALGI CLINIC,ECHO,-,1500.00
73,KOUJALGI CLINIC,TMT,-,1700.00
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,DRESSING SMALL,-,50.00
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,DRESSING BIG,-,50.00
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,ABDOMAN SCAN,-,200.00
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,PREGNANCY SCAN,-,200.00
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,SCRUTOL DOPPLER,-,250.00
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,TMT,-,500.00
72,ACHARYA TULASI DIAGNOSTICS & DENTAL CARE,VERICOSE DOPPLER,-,1000.00
75,SADHANA CLINICAL LABORATORY,NA,-,0.00
76,MAHADESWARA CLINIC,injection,-,30.00
78,LOTUS CHILDRENS CLINIC,DRESSSING CHARGE SMALL,-,50.00
78,LOTUS CHILDRENS CLINIC,DRESSING CHARGE BIG,-,100.00
78,LOTUS CHILDRENS CLINIC,SUTURING PER STICH,-,50.00
78,LOTUS CHILDRENS CLINIC,HOUSE VISIT,-,250.00
78,LOTUS CHILDRENS CLINIC,INJECTION,-,50.00
78,LOTUS CHILDRENS CLINIC,NUBULIZATION FEES,-,100.00
79,CHIRAYU CLINIC,CONSULTATION,-,300.00
81,MEDICO PASTORAL ASSOCIATION,Psychosocial rehabilitation,-,16600.00
82,SHRIYA DIAGNOSTIC CENTRE,NA,-,0.00
80,ST JOSEPH HOSPITAL,Mobilzation,-,75.00
80,ST JOSEPH HOSPITAL,ECG,-,250.00
80,ST JOSEPH HOSPITAL,Suturing,-,150.00
83,Akshaya Clinic and Diacare Center,Blood Glucose Estimation,-,100.00
84,SHREE SHREE SHREE SIDDALINGESHWARA YOGAVANA HILLS REGD,NA,-,0.00
85,MED ORTHO CLINIC,CONSULTATION,-,500.00
85,MED ORTHO CLINIC,INJECTION,-,50.00
88,SRI GANESHA CLINIC,CONSULTATION,-,100.00
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,TURP,-,40000.00
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,URSL,-,30000.00
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,TURBT,-,40000.00
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,CIRCUMCISION,-,15000.00
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,PYELO PLASTY,-,50000.00
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,URETHRO PLASTY,-,50000.00
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,VIU,-,25000.00
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,PCNL,-,50000.00
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,CLT,-,25000.00
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,HYPOSPADIAS REPAIR,-,50000.00
87,SRI PADMAVATHI SRINIVASA KIDNEY CARE,KIDNEY STONES,-,30000.00
89,TANMAY Diagnostic Center,NA,-,0.00
90,SRI ASHIRVADA CHILDRENS CLINIC,MEDICAL LINE,-,250.00
91,SANJEEVINI HEALTH CARE,DRESSING,-,100.00
91,SANJEEVINI HEALTH CARE,IV FLUID,-,100.00
92,SRI KRISHNA HOSPITAL MATERNITY AND NURSING HOME,OPD,-,200.00
93,Sri Sai Nethralaya Eye Clinic & Opticals,EYE TEST,-,750.00
93,Sri Sai Nethralaya Eye Clinic & Opticals,MINOR SURGERY,-,15000.00
94,Bhanavi Clinic,consulation,-,100.00
94,Bhanavi Clinic,dressing small wound,-,50.00
94,Bhanavi Clinic,dressing big wound,-,100.00
95,Vedika Clinic Medicals,BP SUGAR,-,150.00
96,Sadashivaram Specialist clinic and Laboratory,CONSULTATION,-,250.00
96,Sadashivaram Specialist clinic and Laboratory,ECG RECORDING,-,150.00
98,GURU RAYA POLYCLINIC,Observation,-,200.00
97,Sanjeevini Multi Speciality Hospital,ACG,-,200.00
100,TEATREE HEALTHCARE PVT LTD,ECG,-,250.00
100,TEATREE HEALTHCARE PVT LTD,PFT,-,350.00
100,TEATREE HEALTHCARE PVT LTD,ULTRASOUND,-,800.00
100,TEATREE HEALTHCARE PVT LTD,IV INJECTION,-,50.00
100,TEATREE HEALTHCARE PVT LTD,IM INJECTION,-,20.00
100,TEATREE HEALTHCARE PVT LTD,TMT,-,1000.00
